Date,Home,HG,HxG,Away,AG,AxG,xGD
8/15/2016,Houston,1,1.26,Toronto,1,1.65,-0.39
8/15/2016,Seattle,2,3.17,Salt Lake,1,0.85,2.32
8/14/2016,New York,3,1.8,Montreal,1,1,0.8
8/14/2016,DC United,2,2.26,Portland,0,0.82,1.44
8/14/2016,Columbus,3,2.53,New York City FC,3,2.49,0.03
8/14/2016,New England,0,1.13,Philadelphia,4,1.33,-0.19
8/14/2016,FC Dallas,2,2.4,Kansas City,2,0.88,1.53
8/14/2016,L.A. Galaxy,1,2.51,Colorado,1,0.77,1.74
8/14/2016,Chicago,2,1.7,Orlando City,2,2.79,-1.09
8/13/2016,Vancouver,1,1.39,San Jose,2,1,0.4
8/8/2016,Orlando City,1,1.6,Seattle,3,2.37,-0.78
8/8/2016,L.A. Galaxy,2,1.57,New York,2,1.07,0.5
8/7/2016,Toronto,4,1.53,New England,1,0.94,0.6
8/7/2016,Montreal,1,1.78,Houston,0,0.8,0.99
8/7/2016,DC United,2,1.86,Philadelphia,2,1.6,0.26
8/7/2016,Colorado,2,2.49,Vancouver,0,0.26,2.23
8/7/2016,Salt Lake,3,1.85,Chicago,1,1.23,0.62
8/7/2016,Portland,3,0.7,Kansas City,0,0.87,-0.17
8/6/2016,San Jose,0,1.54,New York City FC,0,0.66,0.87
8/4/2016,Toronto,1,1.21,Salt Lake,0,1.1,0.11
8/1/2016,Orlando City,3,1.67,New England,1,0.87,0.8
8/1/2016,Toronto,3,1.7,Columbus,0,1.21,0.49
8/1/2016,Philadelphia,1,1.72,Salt Lake,2,0.82,0.91
8/1/2016,Houston,1,0.96,San Jose,1,1.65,-0.69
8/1/2016,Chicago,2,0.53,New York,1,0.81,-0.28
7/31/2016,Kansas City,1,1.09,Portland,0,1.11,-0.02
7/31/2016,Seattle,1,3.17,L.A. Galaxy,1,1.41,1.77
7/31/2016,DC United,1,1.53,Montreal,1,0.38,1.15
7/31/2016,FC Dallas,2,1.82,Vancouver,0,0.21,1.61
7/30/2016,New York City FC,5,2.65,Colorado,1,0.45,2.19
7/24/2016,Toronto,4,3.06,DC United,1,1.16,1.9
7/24/2016,Houston,0,1.2,Vancouver,0,0.4,0.8
7/24/2016,Montreal,5,1.9,Philadelphia,1,0.93,0.98
7/24/2016,Columbus,2,2.85,Orlando City,2,2.17,0.68
7/24/2016,New England,1,1.3,Chicago,0,0.88,0.43
7/24/2016,Colorado,1,0.93,FC Dallas,1,0.64,0.29
7/24/2016,New York,4,2.19,New York City FC,1,0.37,1.82
7/24/2016,Kansas City,3,1.83,Seattle,0,0.04,1.79
7/23/2016,Salt Lake,1,1.18,San Jose,1,0.87,0.31
7/23/2016,Portland,1,1.29,L.A. Galaxy,2,2.09,-0.8
7/18/2016,Philadelphia,2,2.71,New York,2,0.71,2
7/17/2016,Vancouver,2,1.68,Orlando City,2,1.86,-0.18
7/17/2016,Columbus,1,0.96,DC United,1,2.01,-1.05
7/17/2016,FC Dallas,3,1.68,Chicago,1,0.35,1.33
7/17/2016,Colorado,1,0.68,Kansas City,0,0.78,-0.11
7/17/2016,Salt Lake,0,1.21,New England,0,0.79,0.43
7/17/2016,San Jose,2,0.74,Toronto,1,1.84,-1.1
7/17/2016,Portland,3,1.47,Seattle,1,1.19,0.29
7/17/2016,Montreal,1,0.91,New York City FC,3,0.74,0.17
7/16/2016,L.A. Galaxy,1,1.68,Houston,0,0.65,1.03
7/14/2016,Vancouver,1,0.35,Salt Lake,0,1.42,-1.07
7/14/2016,Columbus,1,0.6,Toronto,1,0.81,-0.21
7/14/2016,New York,2,1.25,Orlando City,0,0.6,0.65
7/14/2016,Chicago,1,1,Kansas City,0,1.17,-0.17
7/14/2016,Seattle,5,2.45,FC Dallas,0,0.2,2.25
7/14/2016,Portland,1,1.96,Montreal,1,0.65,1.31
7/11/2016,Kansas City,3,2.25,New York City FC,1,0.54,1.71
7/10/2016,Toronto,1,1.53,Chicago,0,0.66,0.87
7/10/2016,Vancouver,2,1.8,Colorado,2,1.34,0.46
7/10/2016,Philadelphia,3,3.38,DC United,0,0.46,2.92
7/10/2016,New England,2,2.3,Columbus,1,1.92,0.38
7/10/2016,Salt Lake,1,1.41,Montreal,1,1.32,0.1
7/10/2016,New York,0,1.37,Portland,0,0.81,0.56
7/9/2016,San Jose,0,1.38,FC Dallas,1,1.39,-0.01
7/9/2016,Seattle,0,2.41,L.A. Galaxy,1,1.28,1.13
7/9/2016,Orlando City,0,0.6,Houston,0,1.27,-0.67
7/7/2016,New England,0,1.02,New York City FC,1,1.52,-0.51
7/5/2016,FC Dallas,4,2.03,Orlando City,0,0.09,1.94
7/5/2016,Colorado,0,0.98,Portland,0,0.79,0.19
7/5/2016,L.A. Galaxy,2,0.56,Vancouver,0,1.33,-0.77
7/4/2016,Kansas City,3,2.69,Columbus,2,1.76,0.93
7/3/2016,Toronto,1,1.53,Seattle,1,1.5,0.03
7/3/2016,Houston,1,1.56,Philadelphia,0,1.01,0.55
7/3/2016,New York City FC,2,1.31,New York,0,1.05,0.25
7/2/2016,Chicago,1,1.41,San Jose,0,1.16,0.25
7/2/2016,Salt Lake,1,2.62,DC United,1,0.88,1.74
7/2/2016,Montreal,3,1.66,New England,2,1.19,0.47
6/26/2016,Philadelphia,2,3.37,Vancouver,3,0.79,2.58
6/26/2016,Montreal,2,1.77,Kansas City,2,1.12,0.65
6/26/2016,Columbus,1,1.51,New York,1,0.85,0.66
6/26/2016,Orlando City,3,2.1,Toronto,2,1.56,0.54
6/26/2016,FC Dallas,2,1.29,Salt Lake,0,0.17,1.12
6/26/2016,San Jose,1,1.86,L.A. Galaxy,1,0.89,0.98
6/26/2016,Portland,3,3.09,Houston,2,1.41,1.69
6/26/2016,DC United,2,1.84,New England,0,0.8,1.04
6/25/2016,Seattle,0,1.57,New York City FC,2,1.44,0.13
6/23/2016,Philadelphia,3,2.12,Chicago,3,1.14,0.98
6/23/2016,Salt Lake,2,0.59,New York,1,0.54,0.06
6/23/2016,L.A. Galaxy,0,1.1,Colorado,0,0.95,0.15
6/20/2016,New York,2,1.06,Seattle,0,1.09,-0.03
6/19/2016,Toronto,1,0.67,L.A. Galaxy,0,0.5,0.17
6/19/2016,Vancouver,1,1.2,New England,2,0.89,0.31
6/19/2016,Houston,0,1.52,DC United,0,0.51,1
6/19/2016,Columbus,0,0.97,Montreal,0,0.83,0.14
6/19/2016,Orlando City,2,1.19,San Jose,2,1.49,-0.3
6/19/2016,Colorado,2,0.88,Chicago,1,0.54,0.35
6/19/2016,Salt Lake,2,1.92,Portland,2,1.69,0.23
6/19/2016,Kansas City,2,1.48,FC Dallas,0,1.5,-0.02
6/18/2016,New York City FC,3,1.63,Philadelphia,1,1.35,0.28
6/3/2016,New York City FC,2,2.85,Salt Lake,2,0.61,2.24
6/3/2016,FC Dallas,1,1.18,Houston,1,0.93,0.25
6/3/2016,L.A. Galaxy,0,0.1,Kansas City,0,1.12,-1.02
6/2/2016,Philadelphia,3,1.02,Columbus,2,1.63,-0.61
6/2/2016,DC United,0,1.62,Seattle,2,1.1,0.52
6/2/2016,Portland,1,0.08,San Jose,0,1.33,-1.25
5/29/2016,New York,3,0.54,Toronto,0,2.26,-1.72
5/29/2016,Columbus,3,5.27,Salt Lake,3,2.28,2.99
5/29/2016,New England,2,1.81,Seattle,1,1.12,0.69
5/29/2016,Chicago,1,1.47,Portland,1,0.51,0.97
5/29/2016,Colorado,1,1.12,Philadelphia,1,0.5,0.61
5/29/2016,San Jose,0,0.53,FC Dallas,0,0.37,0.16
5/29/2016,New York City FC,2,2.47,Orlando City,2,1.21,1.26
