Date,Home,HG,HxG,Away,AG,AxG,xGD
3/6/2016,New York,0,0.9719906189,Toronto,2,1.4487431345,-0.4767525156
3/6/2016,Orlando City,2,1.6994595114,Salt Lake,2,1.5501906076,0.1492689039
3/6/2016,Chicago,3,3.0582608939,New York City FC,4,1.9439326729,1.114328221
3/6/2016,FC Dallas,2,2.3420662194,Philadelphia,0,1.0001303627,1.3419358567
3/6/2016,Houston,3,2.0032603134,New England,3,1.5547061805,0.4485541328
3/6/2016,San Jose,1,0.5112650345,Colorado,0,1.2751191839,-0.7638541494
3/6/2016,Portland,2,2.5292170718,Columbus,1,1.8144028963,0.7148141755
3/6/2016,Vancouver,2,2.0104532938,Montreal,3,0.9469581961,1.0634950977
3/7/2016,Seattle,0,0.547454347,Kansas City,1,1.0840216305,-0.5365672835
3/7/2016,L.A. Galaxy,4,2.4252953001,DC United,1,1.0638087452,1.3614865549
3/12/2016,New England,0,1.1246780808,DC United,0,0.4486450546,0.6760330262
3/13/2016,Colorado,1,0.7593673642,L.A. Galaxy,0,0.8198823315,-0.0605149674
3/12/2016,Salt Lake,2,1.1432347586,Seattle,1,0.9762445313,0.1669902273
3/13/2016,Columbus,1,1.7135968002,Philadelphia,2,1.0689335421,0.6446632581
3/12/2016,Montreal,3,2.1080242566,New York,0,0.9281587938,1.1798654628
3/13/2016,Kansas City,2,1.1377742091,Vancouver,1,1.3362333159,-0.1984591068
3/13/2016,New York City FC,2,2.590222273,Toronto,2,0.9089733716,1.6812489015
3/20/2016,DC United,1,2.2604220438,Colorado,1,1.0015673494,1.2588546944
3/20/2016,Philadelphia,3,3.7169206534,New England,0,0.8429956607,2.8739249927
5/8/2016,Toronto,1,1.9359879291,FC Dallas,0,0.7912540424,1.1447338866
3/12/2016,Orlando City,1,0.8898560837,Chicago,1,1.0047965475,-0.1149404637
3/13/2016,Houston,4,1.6791335902,FC Dallas,0,1.2367210846,0.4424125056
3/13/2016,San Jose,2,0.766832687,Portland,1,1.7852578703,-1.0184251832
3/18/2016,New York City FC,0,0.9637723971,Orlando City,1,1.3063301601,-0.342557763
3/19/2016,Chicago,0,0.2212673565,Columbus,0,0.5850179101,-0.3637505536
3/19/2016,New York,4,3.1775746487,Houston,3,1.7308817885,1.4466928602
3/20/2016,FC Dallas,2,0.6123309259,Montreal,0,0.5047349712,0.1075959547
3/20/2016,Seattle,1,1.3502490829,Vancouver,2,2.0848133446,-0.7345642618
3/20/2016,L.A. Galaxy,3,2.5906543977,San Jose,1,0.7463817168,1.8442726808
3/20/2016,Portland,2,2.7667102456,Salt Lake,2,0.6338546591,2.1328555865
3/20/2016,Kansas City,1,0.5024444408,Toronto,0,1.2139424062,-0.7114979654
3/26/2016,New York City FC,1,1.659505164,New England,1,0.8179719273,0.8415332367
3/27/2016,Vancouver,1,2.1364109833,Houston,0,1.4611416996,0.6752692836
3/26/2016,DC United,0,1.9670488877,FC Dallas,3,1.1211200757,0.845928812
4/2/2016,New England,1,0.6854977056,New York,0,1.8266593696,-1.1411616641
4/2/2016,Chicago,1,0.6874981874,Philadelphia,0,1.6002002823,-0.9127020949
4/3/2016,Vancouver,0,0.1368379986,L.A. Galaxy,0,1.6576177134,-1.5207797148
4/3/2016,Kansas City,1,1.9318039804,Salt Lake,2,1.360523633,0.5712803474
4/3/2016,FC Dallas,1,1.7655435015,Columbus,1,0.9223160706,0.8432274309
4/3/2016,Colorado,1,1.7629825,Toronto,0,0.6357695285,1.1272129715
4/11/2016,New York City FC,0,1.5517054994,Chicago,0,0.4105773763,1.1411281231
4/11/2016,L.A. Galaxy,0,0.8884158977,Portland,1,0.1998015582,0.6886143394
4/14/2016,Kansas City,1,2.160062396,Colorado,2,0.7746714313,1.3853909648
4/14/2016,San Jose,2,1.3885211689,New York,0,0.9775652612,0.4109559077
4/14/2016,Portland,1,1.5859844598,FC Dallas,3,1.4051545468,0.180829913
4/3/2016,Seattle,1,0.7861298479,Montreal,0,0.7677968464,0.0183330015
4/16/2016,Houston,1,0.539167084,L.A. Galaxy,4,1.9198158722,-1.3806487883
4/3/2016,San Jose,1,1.506061483,DC United,1,1.1764201994,0.3296412836
4/16/2016,Chicago,1,0.5646893347,Montreal,2,1.1306407572,-0.5659514225
4/4/2016,Orlando City,4,1.8086816506,Portland,1,2.3835419752,-0.5748603245
4/16/2016,DC United,0,2.0487431076,Toronto,1,1.2193826129,0.8293604947
4/9/2016,Philadelphia,2,2.654311317,Orlando City,1,1.2109689872,1.4433423299
4/17/2016,Columbus,3,1.7625493851,New York City FC,2,2.4251262323,-0.6625768472
4/9/2016,New England,1,1.2394097294,Toronto,1,0.9275275598,0.3118821697
4/17/2016,Colorado,2,1.0168799466,New York,1,0.8481476839,0.1687322627
4/9/2016,DC United,4,4.3197485051,Vancouver,0,0.7237114449,3.5960370602
4/17/2016,Salt Lake,1,1.3574592874,Vancouver,0,1.2941203214,0.063338966
